Wavefront_background21 Wavefront_background22 Wavefront_background23 Wavefront_background24 Wavefront_background25 Wavefront_background26 Wavefront_background27 Wavefront_background28 Wavefront_background29 Wavefront_background210 Wavefront_background211 Wavefront_background212 Wavefront_background213 Wavefront_background214 Wavefront_background215 Wavefront_background216 Wavefront_background217 Wavefront_background218 Wavefront_background219 Wavefront_background220 Wavefront_background221 Wavefront_background222 Wavefront_background223 Wavefront_background224 Wavefront_background225 Wavefront_background226 Wavefront_background227 Wavefront_background228 Wavefront_background229 Wavefront_background230 Wavefront_background231 Wavefront_background232 Wavefront_background233 Wavefront_background234 Wavefront_background235 Wavefront_background236 Wavefront_background237 Wavefront_background238 Wavefront_background239 Wavefront_background240
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.00146967172623 0.001902117393915 0.001729958690705 0.001295534893875 0.001293165609245 0.00298234447837 0.00358069408685 0.003095480613415 0.00295865722001 0.00386444292963 0.00584133528173 0.00806451402605 0.009194305166605 0.009138595312835 0.00967335700989 0.010184472426775 0.009606717154385 0.008877210319045 0.00885323993862 0.00971437431872 0.01041373610497 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.00179164297879 0.001391669735315 0.001195769757035 0.000349500216545 0.00049855280668 0.00156002212316 0.002443128265445 0.00272743031383 0.002208584919575 0.002922262065115 0.005188563838605 0.007160119712355 0.007915692403915 0.00772892124951 0.00919869914651 0.0095232706517 0.00866171345115 0.008395519107585 0.008331572636965 0.008679505437615 0.009545475244525 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.00099806115031 0.000652581453325 0.000437106005850001 -0.00022018328309 -0.000657839700574999 -0.000300288200375001 0.000370769761505 0.000938653014605001 0.001900569535795 0.00156631972641 0.002506814897065 0.00416018534452 0.00572779402137 0.00745729543269 0.007166508585215 0.00854678079486 0.00868161208928 0.00765825249255 0.008104166015985 0.007843317463995 0.00808299519122 0.009040398523215 0.009268591180445 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0014416212216 -0.001811813563105 -0.001338137779385 -0.001579515635965 -0.002182011026885 -0.001373699866235 -0.001464013941585 -0.00189526006579 -0.001348071265965 0.000321300700309999 0.00076073035598 0.00139233283699 0.00331322476268 0.004416204057635 0.005108115263285 0.005872529000045 0.00802619941533 0.0081233214587 0.006399435922505 0.007272170856595 0.00747600011528 0.00774987600744 0.00862940773368 0.0083810929209 0.008293909952045 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.00172234326601 -0.00270189717412 -0.002468585968015 -0.002842795103785 -0.00259311124682 -0.001461041159925 -0.001348560675975 -0.00233638240024 -0.00275613600388 -0.000196090899405 0.00123530253768 0.000723058357835 0.00281260162592 0.00404328852892 0.00381678249687 0.00513377040625 0.007116617634895 0.00706740282476 0.00544019043446 0.00712383911014 0.007789982482795 0.007789349183445 0.00835045427084 0.00887343287468 0.00920067355037 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.00309217907488 -0.003372117877005 -0.002415436320005 -0.00240163505077 -0.001796585042025 -0.000250658951695 -0.000698888674375 -0.002394409850235 -0.003117545507845 -0.001174487173555 0.000844977796080001 0.001440562307835 0.002522476017475 0.00274291355163 0.00338896457106 0.005609627813105 0.00718597136438 0.006699312478305 0.005514174699785 0.00566597655416 0.00686859712005 0.008350411430005 0.00942261144519 0.01025808043778 0.010190589353445 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0042449738830305 -0.003221366554495 -0.002619460225105 -0.003298556432125 -0.003248894587155 -0.00310445670038 -0.00379625149071 -0.00346992909908 -0.00245328713208 -0.001298699527975 -0.00128131639212 -5.68479299499994e-05 0.00247178319842 0.003132682293655 0.00266446731985 0.00398000329733 0.0051162596792 0.00540141388774 0.0058967852965 0.005804002285005 0.00585991237313 0.00684808008373 0.0091943461448 0.010582400485875 0.01081173308194 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.004537465050814 -0.0037992503494 -0.00394114013761 -0.0047126486897445 -0.0055964561179255 -0.005013053305445 -0.0051531400531505 -0.005058679729698 -0.00334674492478 -0.002029439434405 -0.00221655424684 -0.001090243458745 0.001660397276285 0.002938622608785 0.001806396991015 0.002243109047415 0.00388827454299 0.00366378296167 0.003589126281445 0.004403413273395 0.004610023461285 0.006055095233025 0.007489798590545 0.009305682033305 0.01049830205739 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0053393049165585 -0.0046599637716985 -0.0047945510596015 -0.0045610368251775 -0.004903171211479 -0.005917140282688 -0.0057341521605825 -0.004711178131399 -0.0045941360294795 -0.004773249849675 -0.002542647067455 -0.00198230240494 -0.00241588288918 0 0.00246018636972 0.002196608111265 0.002059812657535 0.002799682319165 0.00372281111777 0.003951298072935 0.00415231101215 0.00518229044974 0.006237874738875 0.007041076198225 0.00841716863215 0.00937563367188 0.00969313643873 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0046676527708745 -0.004167867824433 -0.003358861431475 -0.0039100414142 -0.0041659688577035 -0.003900961019095 -0.004517608322201 -0.004513949155805 -0.0046026529744245 -0.003234055824575 -0.00185607327148 -0.000828118994830001 0.00116345752031 0.002364592626695 0.00385493319482 0.003853636793795 0.003768811002375 0.004148984327915 0.00518102012575 0.00586090795696 0.00653417222202 0.00766590423882 0.008076822385195 0.009023929014805 0.01013584248722 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0049793198704695 -0.004040498286485 -0.00201854202896 -0.002728580497205 -0.0037119211629 -0.003352516330775 -0.00401582662016 -0.004334379918871 -0.0041406303644155 -0.00350697338581 -0.0027514626272 -0.000920854508875 0.001519003883005 0.00258024595678 0.00396129023284 0.00390772148967 0.00369834713638 0.004269050434235 0.004958806559445 0.005858493037525 0.00688369572163 0.00822467543185 0.00912486948073 0.00944175384939 0.010363258421425 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0048617813736175 -0.004002990201115 -0.002878345549105 -0.003513606265185 -0.0041057895869 -0.0042792325839375 -0.004688467830417 -0.0042582759633635 -0.004047662019725 -0.003308529034255 -0.002857275307175 -0.001457592938095 0.00107040256262 0.002399371005595 0.003594477660955 0.00359163247049 0.00407948344946 0.004261764697735 0.004324623383585 0.005133222788575 0.0063835689798 0.00805210322142 0.009523449465635 0.010550433769825 0.0111745223403 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0058358963578915 -0.004686495289204 -0.00397112779319 -0.004232167266307 -0.003762727603315 -0.00409795902669 -0.0048917457461335 -0.004158652387557 -0.00432051066309 -0.003853790462015 -0.00309875048697 -0.002383559942245 -0.00030550546944 0.002557245083155 0.0037516951561 0.003446890972555 0.003669857978825 0.00393973477185 0.004929950460795 0.005769355222585 0.006088103167715 0.00770069472492 0.009755099192265 0.010846704244615 0.011310430243615 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0068457620218375 -0.0063400138169505 -0.004914137534795 -0.0046766530722355 -0.0039291922003 -0.004164879210291 -0.0048328796401595 -0.004255240783093 -0.004678436554966 -0.004650881513951 -0.0038693472743 -0.00240258593112 9.85972583300004e-05 0.002105635590855 0.00288997869939 0.00251417793334 0.003181403502825 0.00409738533199 0.00462854653597 0.00541791599244 0.00575121678412 0.00706215389073 0.009262708947065 0.01119054295123 0.0118619222194 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.006624822504816 -0.0053163357079005 -0.005023977719245 -0.0045118071138835 -0.0041433172300435 -0.003665151074525 -0.00368324574083 -0.004204534925518 -0.0047137802466725 -0.00406641233712 -0.001990773249415 0.00041213911027 0.00199273694307 0.002301875501875 0.00205549132079 0.00261780433357 0.003867071121935 0.00476917717606 0.00520433392376 0.005853261798625 0.00712052918971 0.009308069944385 0.011135315522555 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0056873131543375 -0.0052830241620515 -0.0056054675951575 -0.0043817833065965 -0.003356093540785 -0.003640253096815 -0.003906104713675 -0.00351990573108 -0.00292451214045 -0.002003578469155 -0.000382734462614999 0.001804196275775 0.0023877453059 0.00274091679603 0.003334059379995 0.00442391447723 0.005341938696805 0.005905731581155 0.0065639000386 0.00723743066192 0.00852281600237 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.006617904640732 -0.0056021967902755 -0.0057367645204045 -0.004729855805633 -0.00365199893713 -0.004766858182845 -0.003903503529725 -0.00222246488556 -0.00221462873742 -0.00222718855366 -0.000809656456109999 0.001857137307525 0.002575071528555 0.00304129999131 0.004019620828335 0.004940629936755 0.00591667182744 0.006125697866085 0.006692051887515 0.00813572853804 0.00954238511622 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0055925706401445 -0.0052246320992685 -0.004338071681557 -0.004546338692305 -0.0064263558015205 -0.0062709320336555 -0.00375527422875 -0.0027512665838 -0.00270385853946 -0.001523747574535 0.00016851257533 0.00159495789558 0.003023327328265 0.00348222907633 0.003670057281855 0.004968815483155 0.006032478995625 0.00711333565414 0.00854084454477 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.004769700579343 -0.0042727245017865 -0.005570976063607 -0.0067666228860595 -0.0066473828628635 -0.0050363317131975 -0.00301828794181 -0.002031261567025 -0.0016732821241 -0.000323404558 0.00048662722111 0.001839306205515 0.002831550315025 0.0024767909199 0.003397293388845 0.005274968221785 0.006490668281915 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0045733042061305 -0.0053416378796075 -0.0061100078746655 -0.0052072526887035 -0.00316918827593 -0.001680105458945 -0.001182278618215 -0.0012216810137 -0.000774105079470001 0.000895555131139999 0.00234297476709 0.001938425004485 0.002410793676975 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.0052317539229965 -0.0060834893956755 -0.0068383198231435 -0.0049691749736645 -0.002176753710955 -0.001190830022095 -0.001606939360495 -0.00118900090456 0.00041800644249 0.00135693885386 0.001094646751885 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 NaN 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
